fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Yui Chul Nam,0.1787074682372849,0.061982758620689665,0.08506298003072196,0.00494290011017913,0.0,0.03387453383335101,0.043802737671104444,0.0194240871564455,0.02555117642261431,0.004558716265499635,0.006931745197641151,0.4648391035455317
Nicco Montano,0.0026858498599079874,0.04646551724137932,0.04516129032258065,0.013875462041512654,0.025,0.09999999999999998,0.09332458278642415,0.05,0.049590846440238465,0.011706783369803062,0.012420739183744964,0.45023107124559125
Georges St-Pierre,0.04326534142186776,0.06712346642742338,0.08771490705128139,0.02411096134925815,0.015869127620350233,0.03691362362753735,0.04638077059763135,0.025870244206314293,0.0389266783901092,0.016053193412767102,0.026584111425394037,0.42881242552993426
Karol Rosa,0.06115346718877347,0.05448275862068966,0.019047619047619046,0.001307932897355701,0.0,0.0895836583240256,0.10000000000000003,0.04128866799097601,0.04551653080831236,0.003537563822027716,0.003735622117125007,0.4196538208169046
Matheus Nicolau,0.14281901757201756,0.06015948275862069,0.05377880184331796,0.03424239630722206,0.0,0.028796151278227395,0.03559722482655166,0.01586192862206242,0.020469373214773868,0.007647702407002187,0.011211770888071466,0.4105838497178672
Billy Quarantillo,0.01613530895954964,0.0879741379310345,0.08151152073732719,0.06155814614728461,0.009375000000000001,0.029465060120678146,0.04905306581661354,0.02155879475271623,0.03574186840932719,0.006345733041575491,0.008147661586967945,0.40686629750307446
Brad Blackburn,0.2,0.049491379310344835,0.004423963133640553,0.004264998578333807,0.0,0.050031511097522165,0.043956497281080066,0.024085943543452892,0.022860508950435916,0.0019803063457330414,0.0007896304081275182,0.4018847386486708
Martin Day,0.07460002298847059,0.060237068965517254,0.07649769585253456,0.02140691918271965,0.009375000000000001,0.046437374033607676,0.0534267766735421,0.022863338283770563,0.026530801137378737,0.0032822757111597364,0.004708355228586442,0.3993656280572873
Petr Yan,0.12588028762440215,0.06082805765086207,0.039525633640553004,0.003133087114817316,0.006152343750000001,0.04672440581301752,0.05359377929870617,0.022062822935169042,0.025542088107389446,0.005837151258205689,0.0067146172709756525,0.3959942744640981
Luana Carolina,0.062087423374833244,0.052672413793103445,0.013824884792626727,0.037531987489337504,0.05,0.05507328670106887,0.05957247327957998,0.026453528332044063,0.02828400889411228,0.0025164113785557983,0.0024154843229987743,0.39043190235826064
Sean Brady,0.05232443292037362,0.0616918103448276,0.06819354838709678,0.011057189299296276,0.0,0.048209483280398854,0.06118976186011626,0.026992595906859908,0.03601326224357498,0.010940919037199124,0.013462953231739358,0.3900759565114828
Heath Herring,0.1160883094903012,0.035681034482758625,0.08276497695852535,0.009403044587005971,0.0425,0.02891595584702454,0.0243465216576036,0.018048386705515472,0.020901020354716943,0.003588621444201313,0.0063758977053774745,0.3886137692330304
Matthew Semelsberger,0.060213704402824635,0.05422413793103448,0.07649769585253456,0.013413781498791586,0.0,0.05487361241974029,0.06235702231389462,0.024879451013581813,0.02744919930747038,0.005579868708971553,0.008877211420564022,0.3883656848694079
Shane Burgos,0.09478727648768348,0.056436557112068964,0.04834389400921659,0.0028558622072256184,0.0,0.05850050854543525,0.06345045002812676,0.02813676683440653,0.03055094562724084,0.0013496649343544857,0.0027932869153967418,0.3872052127011553
Merab Dvalishvili,0.01659067385280139,0.04368072660098522,0.056073074391046744,0.003710651897416629,0.0,0.049036705303045845,0.04363665586241997,0.0334945209556744,0.040989012329392935,0.04801695842450766,0.049999999999999996,0.38522897961729075
Forrest Petz,0.1677514406862215,0.03786868842364532,0.04684002633311389,0.0004630569885048133,0.012053571428571429,0.03267589387668509,0.024791728054431972,0.01884189417564439,0.019072813497419107,0.005716630196936543,0.012212296374146085,0.37828804003532013
Kamaru Usman,0.04104652561147844,0.06401968796626327,0.04620123903314427,0.005625355416548195,0.0,0.04507565303329712,0.05560670183112407,0.029357106973606217,0.04217929317891219,0.02272908535494866,0.02544590946144414,0.37728655786076654
Alexander Volkanovski,0.04948842029596312,0.07013335129310344,0.05305305939580133,0.007612312863314693,0.011067708333333334,0.044381352918052425,0.060299862491405724,0.020331817056038173,0.026771242880520782,0.015488238512035008,0.014105651894669237,0.37273301793423724
Cain Velasquez,0.09744739414053834,0.0716215188914332,0.047433036914362514,0.004657733864088712,0.0,0.02844264915252827,0.038902353272079505,0.020972474535795437,0.03190479069012122,0.015061603215034644,0.014242496770450168,0.37068605144643196
Tarec Saffiedine,0.11590848617295613,0.05333512931034482,0.020183563748079877,0.00820775281963795,0.0,0.04890002350332686,0.05584099006187887,0.02388397289208856,0.028645867339775994,0.005803245805981035,0.0038745839901909262,0.36458361564426095
Dominick Cruz,0.013578542647663392,0.04751111260775862,0.04564602534562212,0.0032947114017628657,0.01787109375,0.0681550720387368,0.05855639414963435,0.03196616811900456,0.028307237910328464,0.027071936542669584,0.022139385181292697,0.3640976796944735
Demetrious Johnson,0.019361425959434256,0.06221437783076847,0.0553135771939404,0.013614962074092504,0.007985899183485244,0.0412949559218374,0.05045615872842638,0.02436713209349289,0.03319670821471687,0.023931070073167394,0.028797878808025458,0.36053414608138734
Nick Thompson,0.0026858498599079874,0.04956896551724138,0.07649769585253456,0.037531987489337504,0.07500000000000001,0.03031367581632462,0.031220701293830862,0.019467212562430766,0.024977775481782358,0.004048140043763675,0.005750569276580837,0.35706257319373463
Scott Holtzman,0.039667847654409435,0.05913389008620691,0.060773185483870965,0.006587872904657895,0.0134765625,0.043431978289959955,0.05065709007381143,0.024663701468297564,0.0321190061392439,0.010150033568728864,0.012831703132215481,0.3534928713014024
Brad Riddell,0.021552418178823297,0.06301724137931035,0.09216589861751151,0.001307932897355701,0.025,0.03966508799187991,0.05169698106131633,0.019294710938489695,0.024944411798259493,0.003537563822027716,0.005959012086179716,0.3481412587711537
